   ;ENTREPRISE;CODE_SEC;VILLE_SIEGE;ADRESSE;TEL;FAX
220;HUILERIE NJOUD FRERES;IAA;KAIROUAN;Souk Edhhibet Sayada Sud;98 911 579;
221;HUILERIE ROMDHANI;IAA;KAIROUAN;Aouled Farjallah Bouhajla;97 073 046;
222;HUILERIE YAAKOUBI;IAA;KAIROUAN;CHERARDA;;
223;IGEHUILE;IAA;KAIROUAN;Route Mahdia Km 10;74 831 522;74 831 067
224;IRIS AGRO-PLUS;IAA;KAIROUAN;ZI El Baten;77 302 222;77 302 225
225;MEDITERRANEAN FOOD COMPANY;IAA;KAIROUAN;;98 435 748;71 289 507
226;R.J. REYNOLDS TUNISIA S.A.;IAA;KAIROUAN;B.P. 214 A - La Mansoura;77 232 800;77 231 999
227;SAHARA FRUIT;IAA;KAIROUAN;Omega Center Bloc C 3ème étage C12  Lac 2;70 039 132/22217846;71 268 427
228;SLAMA HUILES;IAA;KAIROUAN;1 Rue Lac Toba Imm Goldina Les berges du lac;71 860 659;71 862 599
229;SOBOCO CONFISERIE DES AGHLABITE;IAA;KAIROUAN;ZI  ARIANA BP 303 Charguia 2 Rue El Maaden;70 837 332;70 837 207
230;SOCIETE CAFRICA;IAA;KAIROUAN;4 Rue Telemcen;77 231 428;77 274 847
231;SOCIETE CARTHAGE FOOD  EX - CIPA;IAA;KAIROUAN;01 Rue Ali Ben Ghedhehem;71 354 200/71346234;71 351 218
232;SOCIETE DE PRODUCTION DES EAUX MINERALES - SOPREM;IAA;KAIROUAN;Route de Sousse Km 6.5 ZI Ben Arous BP 52;71 384 100;71 384 105
233;SOCIETE D'EXPLOITATION D'EAU MINERALE - SEEM;IAA;KAIROUAN;Route de Sousse km 6,5 ZI Ben Arous BP 189;71 384 100;71 384 105
234;SOCIETE ECOIL;IAA;KAIROUAN;Route de Sousse Km 2 BP 87 Kairouan Sud;77 221 065/22670670;77 221 064
235;SOCIETE EL BARAKA DE TRANSFORMATION DE PRODUITS AGRICOLES SETPA;IAA;KAIROUAN;Avenue 2 Mars Bureau N°2 Sidi Bou Ali;77 320 022;77 320 021
236;SOCIETE LA GENERALE ALIMENTAIRE JOUDA;IAA;KAIROUAN;Z.I Charguia 2 BP 303;70 837 332;70 837 301
237;SOCIETE NOPAL ZAAFRANA;IAA;KAIROUAN;KM 16 route Bouhajla Zaafrana;73 324 058;73 324 058
238;SOCIETE SABRA OLIVE OIL;IAA;KAIROUAN;Route nationale GP 03 PK 119;77 365 364/25981981;77 365 364
239;SOCIETE SEGNI DE CCE ET SCES;IAA;KAIROUAN;Avenue imam Sohnoun;77 235 325;77 236 032
240;SPIC PAPAGOLLO;IAA;KAIROUAN;ZI route de Tunis Kairouan Nord;77271049;77271039
241;HUILERIE ETTYBA;IAA;KASSERINE;Henchir El kys Feriana;77 441 780;77 441 781
242;LOTFI MOULAHI  - ETAMAIL;IAA;KASSERINE;Route de Sbiba km 5;77 467 822;77 467 811
243;NOPAL TUNISIE;IAA;KASSERINE;ZI Route de Tala;77 418 418;77 418 118
244;SOCIETE MAHDI HUILES ALIMENTAIRES - SMHA;IAA;KASSERINE;Henchir El Kys Feriana;77 441 780/77440113;77 441 781/77440113
245;SOCIETE SUFFEITULA OLIVE OIL;IAA;KASSERINE;Avenue Taieb Mhiri - SBEITLA;21 284 001;77 467 496
246;STE DES MOULINS SIDI TLIL;IAA;KASSERINE;Thelepte - Feriana;77 440 090;77 440 216
247;CENTRE DE CONDITIONNEMENT DE FRUITS - CCF;IAA;KEBILI;Rue Naplouse N° 19 / BP 108 - 2010 MANOUBA;71 333 601;71 335 272
248;ETABLISSEMENT AMMAR GRIOUI;IAA;KEBILI;Ras el ain;98 338 860;75 491 504
249;LES PROFESSIONNELS DES DATTES;IAA;KEBILI;ZI EL GOLAA - DOUZ;75 479 489;75 479 489
250;SOCIETE ATTAOUFIK DES DATTES;IAA;KEBILI;Km 25 Route de Douz El Galaa;75 479 635;75 479 595
251;SOCIETE BARAKA DE CONDITIONNEMENT DES DATTES;IAA;KEBILI;Bouabellah Souk Lahad;75 480 808;75 480 808
252;SOCIETE BEN BARKA ABDALLAH ETTOUMI;IAA;KEBILI;Rabta;98 604 821;75 440 888
253;SOCIETE BEN HASSEN FRERES;IAA;KEBILI;Avenue Habib bourguiba;75 471 256;75 470 494
254;SOCIETE FRIGORIFIQUE DU SUD;IAA;KEBILI;Zone Industrielle Kébili 4200 Kébili;75492179;75492197
255;SOCIETE GOLDEN EXPORT;IAA;KEBILI;3 Rue Ahmed Triki Bélvédère;75 445 400/71906870;75 445 200
256;SOCIETE GREEN FRUITS;IAA;KEBILI;BP 70 ZI route de Tozeur Kebili nord;75 491 884;75 491 885
257;SOCIETE SOUTH ORGANIC;IAA;KEBILI;Z.I Route de Tozeur BP 33;75 493 790;75 493 788
258;HUILERIE JEBABLI SALAH ET FRERES;IAA;KEF;Avenue Hédi Nouira Ennasr1 Imm la coupole BB3;78 277 101;78 277 327
259;HUILERIE NORD OUEST - HNO;IAA;KEF;Cité Sakia Tejerouine;78 277 101;78 277 327
260;SOCIETE BOUMAKHLOUF DES HUILES - SBH;IAA;KEF;Angle Avenue du Golfe arabe et Rue Jérado El Menzah 8;21 046 520;
261;SOCIETE MILED ABIDA;IAA;KEF;12 Rue des glacières;71 244 425;71 348 418
262;SOCIETE SEAC ( EX. LAMINE BASTI);IAA;KEF;BP N°67  JERISSA;98 924 875;
263;STE DES STATIONS THERMALES ET DES EAUX MINERALES-SOSTEM;IAA;KEF;Boulevard de la terre centre urbain nord;71 259 007/71189200;71 350 832/71948484
264;STE DU MOULIN D'EBBA KSOUR;IAA;KEF;7, Rue de la République- Dahmani;78 280 315;78 280 488
265;STE LA SOURCE;IAA;KEF;Immeuble Sâadi Tour C-D 5ème Etage Bureaux 19-20;71 751 868;71 751 978
266;CENTRALE LAITIERE MAHDIA VITALAIT - CLM;IAA;MAHDIA;BP 123 Dkhila Km 5;73 677 271/36277000;71 967 072/73677257
267;COOPERATIVE AGRICOLE ET INDUSTRIELLE ZOUILA;IAA;MAHDIA;Route Boumerdess Km 7 Avenue Farhat Hached BP 8;73 673 002;73 670 172
268;ETABLISSEMENT BANNOUR & CIE;IAA;MAHDIA;Les frigorifiques , nouveau port;73 680 390;73 681 047
269;EURO EXPORT;IAA;MAHDIA;Zone portuaire Avenue Mongi Slim La Chebba;73 634 430;73 644 979
270;FRIGO PORT;IAA;MAHDIA;Port de pêche Mahdia;73 680 037;73 696 848
271;HUILERIE ABDALLAH EZZINE;IAA;MAHDIA;Rue de la Liberté;73 610 041;__ ___ ___
272;HUILERIE CHEBBI;IAA;MAHDIA;Sakiet El Khadem Sidi Alouan;73 662 664/61;73 662 664/61
273;HUILERIE CHLAIFA;IAA;MAHDIA;ZI Mahdia;73 693 238;73 693 238
274;HUILERIE HABIB TOUMI;IAA;MAHDIA;Chahda Ouest Hbira  5113 Mahdia;97 275 513;
275;HUILERIE MEHDI HAMMOUDA;IAA;MAHDIA;Zorda -Sidi Alwene;73 688 812;73 688 613
276;HUILERIE SIOUD;IAA;MAHDIA;Avenue Farhat Hached Rejiche 5100 MAHDIA;73695171;73695608
277;HUILERIE TIJANI ABID;IAA;MAHDIA;Rue Hédi Nouira 5180 Ksour Essef;73 665 904;73 665 904
278;MUTUELLE DE BASE DE SERVICES AGRICOLES - EZZAHRA;IAA;MAHDIA;Ouled Salah Ksour Rssaf;73 604 460;73 604 460
279;SOCIETE AGROTECH;IAA;MAHDIA;Ennadhour Route de Bekalta Km 5;31 146 625;73 680 784
280;SOCIETE AYEDI ALIMENT BETAILS;IAA;MAHDIA;Joueouda;98 565 248;
281;SOCIETE DE PRODUCTION AGRICOLE - SOPAT;IAA;MAHDIA;Avenue du 23 Janvier  BP 19 Téboulba;73 692 548;73 690 111
282;SOCIETE DES DERIVES DU LAIT - SODEL;IAA;MAHDIA;6 Rue d'Irak Belvedere;98 408 086;73 688954
283;SOCIETE ECHARK;IAA;MAHDIA;Z.I Ksour Essef;73 663 471;
284;SOCIETE EL HANA SIDI JABEUR;IAA;MAHDIA;44 - 46 Avenue de la liberté;71 551 103/71542245;71 551 104/71542777
285;SOCIETE ESSABRE;IAA;MAHDIA;Z.I Souassi N° 209;92 131 411/73611471;73 611 471
286;SOCIETE HMIDA ALI;IAA;MAHDIA;Avenue de l'environnement Melloulech;73 660 545;73 660 545
287;SOCIETE HUILERIE BIOLOGIQUE LAHMER SHBL;IAA;MAHDIA;086 AVENUE BOURGUIBA SIDI ALOUENE;73639710;73639710
288;SOCIETE KAPOUDIA OIL SERVICES;IAA;MAHDIA;Route de Sfax km 8 La Chebba;73660333;73660333
289;SOCIETE MONACO AGRO;IAA;MAHDIA;56 Avenue Habib Bourguiba El Jem;73 631 211;73 631 562
290;SOCIETE MUTUELLE DES SERVICES AGRICOLES - ELFALAH;IAA;MAHDIA;Rue Mahdia Km 1 Boumerdess;73 620 242;73 620 505
291;SOCIETE PRODUCTION AVICOLE SOPAVI;IAA;MAHDIA;Route de Mahdia Km 4 El Jem;73 633 394/161;73 633 161
292;SOCIETE SICAP;IAA;MAHDIA;Immeuble de Kasraoui Appt 13 Route de Tunis;73 680 346;73 680 583
293;SOCIETE SMIDA HABIB BEN AMOR;IAA;MAHDIA;Jouaouda;98 409 509;73 604 129
294;SOCIETE STTGO;IAA;MAHDIA;12 Rue Hassen Hosni Abdelwahab Mégrine;31 197 025;73 663 470/73665444
295;SOCIETE TUNISIENNE D'EPICERIE DERIVES - SOTED;IAA;MAHDIA;Avenue de l'environnement Bradaa;73 650 615;73 650 615
296;SOCIETE WIFRESH;IAA;MAHDIA;ZI Saint Gobain Ouerdia;71 498 200;71 496 165
297;STE ABATTOIR AVICOLE ESSOUASI;IAA;MAHDIA;Zone Industrielle Souassi;73 610 721;73 610 724
298;STE FISH CAP MAHDIA;IAA;MAHDIA;Nouveau port de Mahdia;73 691 220;73 691 223
299;AGROALIMENTARE ITALIANA;IAA;MANOUBA;H'maiem Mornaguia;25 106 432;
300;ANTICA CONSERVE;IAA;MANOUBA;ZI Route El Kef Km 10 Ghdir El Gholla;71 939 560;71 939 560
301;CENTRE DE COLLECTE DE LAIT BORJ EL AMRI;IAA;MANOUBA;AV. Habib Bourguiba borj El Amri;71 705 677;71 705 577
302;COMP TRANS FRUIT POUR INDUS ALIMENTAIRE;IAA;MANOUBA;Route de Mateur Bejaoua 1 Km 13 Oued Ellil;24313317;70830057
303;CONSORTIUM AGROLAND;IAA;MANOUBA;20 Avenue des Etats Unis d'Amérique 2 ème Etage Appt 15 Belvédère;71 398 987;71 784 116
304;ETABLISSEMENT FAKHFEKH;IAA;MANOUBA;17 Rue du Bois, ZI Ksar Said -Douar Hicher;71 524 211;71 546 163
305;ETABLISSEMENTS ABDELMOULA;IAA;MANOUBA;124, rue 4267 Route du Kef km5.5 Den Den;71 610 688/71647088;71 610 393/71646390
306;FROMAGERIE LE FERMIER;IAA;MANOUBA;3 Rue 4277 cité Echabi;71 647 210;71 647 250
307;FROMAGERIE MODERNE BONGOU;IAA;MANOUBA;10 Rue Elhadeyek Oued Ellil;71 536 622;
308;GENERAL DAIRIES OLLE;IAA;MANOUBA;BP 8 Laroussia;71 900 109;71 751 224
309;HUILERIE MODERNE BRAHIM EL BAJI;IAA;MANOUBA;Km 24 Route de Mjez El Bab Borj El Amri;98 937 007/71 542 40;71713181
310;LES ALIMENTS DU CENTRE;IAA;MANOUBA;Z.I Sidi Bouzid;76 633 630;76 634 496
311;MUTUELLE CENTRALE DE SERVICES AGRICOLES ET OLEICOLES;IAA;MANOUBA;Avenue Habib Bourguiba N° 46;71 255 092;71 335 167
312;SLAMA FRERES;IAA;MANOUBA;Route de Mateur Avenue de l'Environnement Oued Ellil;71 535 064;71 535 467
313;SOCIETE CEREALIS;IAA;MANOUBA;1 Rue Turkana Imm Prince du Lac App N°1 Les Berges du Lac;71 961 663;71 961 920
314;SOCIETE COTEPA;IAA;MANOUBA;Rue Mohamed Jammoussi La soukra;70 682 894;70 682 730
315;SOCIETE DE COLLECTE ET VENTE DE LAIT FRAIS - SOCOLAIT;IAA;MANOUBA;5 route de l'hopital millitaire bab saadoun;71 601 843/71770949;71 602 991/71770989
316;SOCIETE EXTRAG;IAA;MANOUBA;AV de l'UMA rue 7218 soukra;70 782 730;70 782 894
317;SOCIETE GECOTRAP;IAA;MANOUBA;5 Rue de Samarkand Tunis;71 602 331;71 602 278
318;SOCIETE ITALIAN FOODS;IAA;MANOUBA;Saniet El Abassi Chabbaou Oued Ellil;70 666 951;70 528 105
319;SOCIETE KHAIRALLAH;IAA;MANOUBA;Route Nationale 38, Sanhaja;98522470;
320;SOCIETE LAIT ET DERIVES - SLD;IAA;MANOUBA;5 route de l'hopital militaire Bab Sâadoun;71 896 619;71 896 314
321;SOCIETE L'APPETISSANTE;IAA;MANOUBA;Boulevard de l'environnement Oued Ellil;71 535 215;71 535 189
322;SOCIETE L'APPETISSANTE (EX:MAGHREB FOOD);IAA;MANOUBA;Boulevard de l'environnement Oued Ellil;71 535 215;71 535 189
323;SOCIETE LES HUILERIES D'OLIVES DU NORD;IAA;MANOUBA;Hadhermine  El Battan;71 780 538;71 780 139
324;SOCIETE MAGHREBINE DE MINOTERIE;IAA;MANOUBA;Avenue Hédi Chaker N° 1;71 602 049;71 602 726
325;SOCIETE MEDINA;IAA;MANOUBA;ZI Jedaida;71 638 700;70 636 018
326;SOCIETE NAJJAR AGRO;IAA;MANOUBA;Borj Touta Km 27 Route Mjez El Bab BP 77 Tebourba;27 511 530;
327;SOCIETE NINO-GEL;IAA;MANOUBA;Appt 65 Bloc 5 Cité Jamil, El Menzah 5;70 646 711;70 646 711
328;SOCIETE NOUVELLE DE BOISSONS - SNB;IAA;MANOUBA;1 Avenue Habib Bourguiba Mornaguia;71 550 111;71 540 066
329;SOCIETE NOUVELLE DE CONSERVES - SONOCO;IAA;MANOUBA;002 Rue de Suede;71 320 503;71 646 586
330;SOCIETE SOPROLIVE;IAA;MANOUBA;Route de Mateur Km 8;71 601 896;71 602 278
331;SOCIETE TOTOLIVE;IAA;MANOUBA;Km 13 Route Medjez;71 541 282;71 541 282
332;SOCIETE TUNISIENNE DE CONSERVES ALIMENTAIRES TUCAL;IAA;MANOUBA;Route de Mateur Km 8;71 601 329;71 601 251
333;SOCIETE TUNISIENNE DES INDUSTRIES ALIMENTAIRES -SOTIA;IAA;MANOUBA;Borj El Khaisi GP5 -Tunis;71542245;71542245
334;SOCIETE VITROPLANT TUNISIA;IAA;MANOUBA;Ferme Mehrine Route de Mahfoura Km 1 BP 114 El Battan;71 640 466;71 641 467
335;STE TUNISIENNE DE TRANSFORMA PRODU AGRIC;IAA;MANOUBA;Route Hmaiem Km 2 Mornaguia;71 590 090;71 590 525
336;ETABLISSEMENT HAMADI BEN DYLENE;IAA;MEDENINE;GUELLALA;75 760 136;75 760 597
337;HUILERIE ABDELAHMID FRIAA;IAA;MEDENINE;Route de Chammakh El Mouensa;75 691 372;
338;HUILERIE ABICHOU;IAA;MEDENINE;Sidi Chammekh Zarzis;79 423 287;__ ___ ___
339;HUILERIE BEN YAHIA;IAA;MEDENINE;Houmet Essouk;75 654 594;75 654 594
340;HUILERIE BOUCHAARA;IAA;MEDENINE;Route de Djerba Km 1;98 962 444;
341;HUILERIE DELLICH;IAA;MEDENINE;BP 169 Ben Guerdene;75 712 051;75 711 953
342;HUILERIE EL GHERRI;IAA;MEDENINE;Hammam M'Sadek, El Raja;75 696 510;
343;HUILERIE EL HANA;IAA;MEDENINE;Gribis;98 470 794;75 687 411
344;HUILERIE MODERNE SAID JABOU;IAA;MEDENINE;Route de Mednine Khalfallah ZARZIS;75 684 800;75 695 420
345;HUILERIE SALEM BEN CHOUIKHA;IAA;MEDENINE;Route de Djerba Km 5;98 816 568;
346;SOCIETE BEN KALIA;IAA;MEDENINE;ZI M'ghira II;71 409 144;71 406 147
347;SOCIETE BEN KALIA ET FILS;IAA;MEDENINE;ZI Zarzis;75 694 417;75 684 906
348;SOCIETE DES BOISSONS DE TUNISIE - SBT;IAA;MEDENINE;Koutine BP 34 Sidi Makhlouf;75 610 012;75 610 015
349;SOCIETE EL INTISSAR;IAA;MEDENINE;Route Ben Guerdene Km 5;75 624 739//511;75 624 094
350;SOCIETE IDEAL FOOD;IAA;MEDENINE;ZI Route Ben Guerdène;75 624 601;75 624 670
351;SOCIETE MANAR THON;IAA;MEDENINE;11 Rue Ahmed Toulanne El Menzah 1;71 832 440//71238283;71 833 210//71237768
352;SOCIETE PHENICIENNE DES INDUSTRIES ALIMENTAIRES - SPIA;IAA;MEDENINE;ZI Koutine Route de Gabès;75 610 071;75 610 425
353;SOCIETE REGIONALE DES INDUSTRIES LAITIERES -SORIL;IAA;MEDENINE;Z.I Koutine Route de Gabès;75 610 006;75 610 008
354;SOCIETE TOP OLIVA;IAA;MEDENINE;BP 62 Erriadh Djerba;75 671 521;75 670 485
355;SOCIETE TUNISIENNE DE CONDITIONNEMENT - STC;IAA;MEDENINE;BP N°3 Koutine Sidi Makhlouf;75 610 485/486;75 610 487
356;STE LE DAUPHIN;IAA;MEDENINE;ADJIM JERBA;75 655 025;75 655 153
357;"ABDESSALEM LOUED ""HUILLERIE LOUED""";IAA;MONASTIR;LAC Prima A 34 les perges du Lac;71 860 136;71 861 930
358;ETS ZEGNANI HASSAN;IAA;MONASTIR;Route de Mahdia 5090 Bekalta;73 458 347;73 477 171
359;GOLDEN DE TRANSFORMATION DES VIANDES;IAA;MONASTIR;Avenue de Carthage Khniss;73 535 172;73 537 969
360;HUILERIE CHATTI;IAA;MONASTIR;Route GP 1 Hdedra Jammal;73 259 993;73 259 993
361;HUILERIE EL ALLEM;IAA;MONASTIR;KARIAT EL HALFA  MENZEL EL FERSI;73 400 460;73 400 461
362;HUILERIE EL AMEN;IAA;MONASTIR;Route Menzel Fares km 4 Moknine;73 475 140;73 475 140
363;HUILERIE EZZAIBI;IAA;MONASTIR;Route Menzel Féres Rue Mongi Slim;73 475 110;73 471 070
364;HUILERIE MODERNE HADJ HASSINE;IAA;MONASTIR;Route Menzel Fersi Moknine;73 400 097;73 400 097
365;LA ROYALE;IAA;MONASTIR;Rue Chedli Kallala;73 463 533;73 485 103
366;MEDGOLD;IAA;MONASTIR;BP 44 MENZEL KAMEL;73 480 420;73 480 420
367;MEDIFOOD AGROKHAYRAT - MEDAGRO;IAA;MONASTIR;9, rue Abdelhamid Ibn Badis-CitÃ© Jardins-Tunis BelvÃ©dÃšre;71280333;71280334
368;ROSA DECOR;IAA;MONASTIR;AV NaBhana Lamta;73 556 000;73 556 001
369;SARRA GLACES;IAA;MONASTIR;Z.I. DKHILA ROUTE DE SAHLINE;73 466 391;73 466 390
370;SOCIETE AGRO FRESH;IAA;MONASTIR;24 Avenue Avicenne;73 532 312;73 532 312
371;SOCIETE BEN AMOR D'ALIMENTS COMPOSES;IAA;MONASTIR;Route de Béni Hassen Km 2;73 499 100;73 499 040
372;SOCIETE BEN AMOR DE PRODUCTION ALIMENTS COMPOSES;IAA;MONASTIR;Rue Béni Hassen Zeramdine;73 499 100/70315444;73 499 100/73577170
373;SOCIETE CAP SAISONS;IAA;MONASTIR;Bhira Ras Dimes Bekalta;73 408 464;73 408 399
374;SOCIETE COULEURS OLIVE;IAA;MONASTIR;26 Rue de l'école Menzel Kamel;26 166 316/29923239;73 574 884
375;SOCIETE DE PRODUCTION AVICOLE ET DERIVEES - SPAD;IAA;MONASTIR;Menzel Harb;73 478 823/29855577;73 478 823
376;SOCIETE DE PRODUCTION DES VIANDES AVICOLES MOKNINE SOPROVAM;IAA;MONASTIR;Route Menzel Fersi Moknine;73 474 808/73400800;73 474 826/73400826
377;SOCIETE DES POISSONS DU SAHEL;IAA;MONASTIR;Port de peche teboulba;73 496 329;73 496 717
378;SOCIETE EL AMAN;IAA;MONASTIR;Rue Ibn Khaldoun Zarmdine;73 499 100;73 499 100
379;SOCIETE FAMILIA;IAA;MONASTIR;Rue 18 Janvier Ksibet El Mediouni;73 440 670;73 442 670
380;SOCIETE GADDOUR;IAA;MONASTIR;Route de Sfax Menzel Hayet;73 597 236;73 410 109
381;SOCIETE MARINAGEL;IAA;MONASTIR;Route de la plage 5080 Téboulba Monastir;09402457;
382;SOCIETE MUTUELLE DE SERVICE AGRICOLE - SMSA;IAA;MONASTIR;Rue Mongi Slim - Beni Hassen;73 490 621;73 490 006
383;SOCIETE PHYTOFLORA LASSONDE;IAA;MONASTIR;29, Avenue de la Démocratie El Menzah V;71 792 223;71 795 830
384;SOCIETE SAIDA SA;IAA;MONASTIR;Rue el Basra Ouerdanine;73 519 900;73 519 428
385;ZAYATI MOHAMED B SALEM HUILERIE;IAA;MONASTIR;Route Touza, Ksar Hellal;73 473 489;73 476 132
386;ABATTOIR ET CHARCUTERIE DU GOLF - ALLANI;IAA;NABEUL;Imm Cristal Palace Bloc A 1er étage App 2 Lac;71 962 524;71 962 697
387;ABATTOIR LES VOLAILLES DU CAP BON;IAA;NABEUL;44 Rue Kigali;72 285 847;72 285 545
388;BAHIA;IAA;NABEUL;Av Farhat Hached;72 287 411;72 287 467
389;BONELLE;IAA;NABEUL;Route de Korbous Soliman;72 390 715;72 390 714
390;CAVE VITICOLE DE BOU ARGOUB - CVBA;IAA;NABEUL;Route de Sousse Km 47 Bouargoub;72 259 555;72 259 966
391;CENTRE DE COLLECTE DE LAIT KHIRA BEN OTHMAN;IAA;NABEUL;Elgorchine, Mida;98 300 209;
392;CENTRE DE COLLECTE DU LAIT MENZEL TEMIME HANENE BENT HASSEN EL MAAOUI;IAA;NABEUL;Cité Boukrima MC 27 Menzel Temime;72 344 366/29309011;72 344 366
393;COMPLEXE DE STOCKAGE DE FRUITS - CSF;IAA;NABEUL;67 Avenue Alain Savary les jardins II Bloc B N° 26;71 284 222;71 283 578
394;CONFISERIE BETTAIEB;IAA;NABEUL;ZI Nabeul - Avenue Farhat Hached;72 287 411;72 287 467
395;COOP. VITICOLE TAKELSA -UCCV;IAA;NABEUL;Takelsa - Elarima;72 273 888;72 273 893
396;COOPERATIVE DE SERVICES AGRICOLES - COSAS;IAA;NABEUL;Route de Korbous Solimen;72 291 435;72 391 328
397;COOPERATIVE VITICOLE DE SAMMECHE;IAA;NABEUL;Route de Tunis;72 255 003;72 255 757
398;COOPERATIVE VITICOLE DES MUSCATS DE KELIBIA;IAA;NABEUL;Menzel Yahia;72 344 015;72 344 015
399;DRIS LATROUS;IAA;NABEUL;Rue du raisin N°1 Grombalia;72 257 678;72 257 806
400;EL FELLAH -STE DE CONSERVES ALIMENTAIRES;IAA;NABEUL;"122 RUE EL KHAWARIZMIE 
MEGRINE RIADH ";71432115;71427943
401;EPIDANA;IAA;NABEUL;AV. H. BOURGUIBA - BP 64 - NABEUL;72 287 384;72 287 401
402;ETABLISSEMENT ZGOLLI FRERES;IAA;NABEUL;Avenue Habib Bourguiba le colisée escalier D Bureau 522;71 338 476;71 338 476
403;ETABLISSEMENTS ZGOLLI ET FILS;IAA;NABEUL;BP 66  - Korba;72 388 224;72 339 077-72339106
404;ETS KHEMIR FRERES;IAA;NABEUL;Route de Menzel Temime km 5 Korba;72 385 611;72 388 222
405;FLOCONS D'OR;IAA;NABEUL;GP1 km 12 EZZAHRA;71 454 545;71 452 534
406;GENERALE INDUSTRIELLE  ALIMENTAIRE SLAMA - GIAS;IAA;NABEUL;1 Rue du Lac Toba Immeuble Goldina Les Berges du Lac;71 862 599;71 860 659
407;GHERINING AGRO-ALIMENTAIRE;IAA;NABEUL;Rte de Tekelsa km2 BP 140;72 252 505;72 252 190
408;GIAS INDUSTRIES;IAA;NABEUL;01 Rue du Lac Toba Imm Goldina Les Berges du Lac;71 862 599/009;72259639
409;GIPA - SOCIETE GENERALE INDUSTRIELLE DES PRODUITS ALIMENTAIRES;IAA;NABEUL;GP1 KM 12 Ezzahra;70 020 520;71 450 933
410;HUILERIE AOUNITI;IAA;NABEUL;128, Av de la république soliman;72 290 316;72 250 079
411;HUILERIE BOUZAKOURA;IAA;NABEUL;;__ ___ ___;__ ___ ___
412;HUILERIE HADJ ALLALA AZAIEZ ET FRERES;IAA;NABEUL;Avenue de la république;22 602 304;
413;HUILERIE KHEDIRA;IAA;NABEUL;HUILERIE KHEDIRA route hamme jdidi;__ ___ ___;__ ___ ___
414;HUILERIE MOKHTAR CHTIOUI;IAA;NABEUL;Jabroun route de Korba Maamoura;72 229 456;72 239 612
415;HUILERIE SAADA;IAA;NABEUL;1, Rue Ali  Ben Ghedhahem Kélibia -Nabeul;02296838;02295620
416;LA GENERALE DE NUTRITION ANIMALE;IAA;NABEUL;Km 3 route Somaa;72 228 565;
417;LA PERLA DE TUNISIA;IAA;NABEUL;Km 1 Route de Tunis SOLIMAN;72 390 297;72 390 297
418;LE COMPTOIR DES DATTES;IAA;NABEUL;Avenue Farhat Hached  Zaouiet Jedidi BENI KHALED;72 370 479/72371330;72 370 305/72370479
419;LES DOMAINES DE SAINT AUGUSTIN;IAA;NABEUL;Immeuble Mesk 5ième étage Bloc B Montplaisir;71 847 375;71 286 092
420;LES ENTREPOTS FRIGORIFIQUES DE TAZARKA - LEFT;IAA;NABEUL;route de korba, 8024 Tazarka, Nabeul ;72225400;72225405
421;MEDIMER;IAA;NABEUL;ZI Kelibia;98 325 979/72346200;72 3462 00
422;NOUVELLE CONSERVERIE DE KORBA - NCK;IAA;NABEUL;Rte Mezel Temime km 3 BP 68V;98 254 977/72382760;72 387400/72382760
423;OROMAR;IAA;NABEUL;"ROUTE DU PORT 
Sidi Daoud ";72298102;72298103
424;PHARMALYS TUNISIE;IAA;NABEUL;03 Rue Khaireddine Bacha Maamoura;73 389 757;73 389 758
425;SIAK - STE DES INDUSTRIES ALIMENTAIRES KORBA;IAA;NABEUL;Béni Aichoune;72 388 055;72 388 333
426;SOCIETE  SNOUSSI JAMEL;IAA;NABEUL;Route de Tunis Km 46 Sidi Dhaher Bou Argoub;72 258 477;72 258 377
427;SOCIETE AGRI BUSINESS COMPAGNY - ABCO SIDI DAOUD;IAA;NABEUL;Z.I Ezzahra Impasse Amman Ben Arous derriÃšre la steg;71454833;71454832
428;SOCIETE AGRI PACK;IAA;NABEUL;71 Rue Alain Savary Immeuble B Bureau B 22 Cité El Khadhra;71 809 473;71 766 304
429;SOCIETE AGRICOLE DE FRUITS IDEALES - SAFI;IAA;NABEUL;Route de Grombalia Soliman;72292394/98516773;72292394
430;SOCIETE AGRICOLE EL BARAKA;IAA;NABEUL;Route Béni khalled Boucharay Soliman;97 435 186;
431;SOCIETE AGRIFOOD;IAA;NABEUL;11 Route de Mornag;71 300 600;71 300 605
432;SOCIETE AGRINEGOCE;IAA;NABEUL;Rue Kroumires Cité Morat;72 230 258;72 271 008
433;SOCIETE AGRO EXPORT SAHEL - SAGES;IAA;NABEUL;ZI Route de Béni Khalled Km 2 Grombalia;72 214 775;72 214 275
434;SOCIETE ALIMENTAIRE DU CAP BON - ALICAP;IAA;NABEUL;Route de Menzel Temim korba;72 382 971;72 382 973
435;SOCIETE AVICOLE EL BARAKA;IAA;NABEUL;Route Ain Tebornok km 4 Grombalia;72 211 755;72 211 596
436;SOCIETE BOUDJEBEL - VACPA;IAA;NABEUL;Avenue Hédi Karray, Immeuble Comète 2ième étage Centre Urbain Nord;71 707 386/043;71 707 060
437;SOCIETE CAP BON FRIGORIFIQUE;IAA;NABEUL;Route de Menzel Bou Zelfa;72 252 295;72 251 773
438;SOCIETE CAP BON FRIGORIFIQUE PLUS - CBF+;IAA;NABEUL;Route de Grombalia Km 5 BENI KHALLED;72 370 433/72204610;72 371 102/72204588
